accident_year,incurred_date,claim_id,policy_id,development_month,incurred_loss,development_date
2024,2024-01-01,1,3948.0,18,5.163769479303484,2025-07-01
2024,2024-01-01,1,3948.0,15,5.1471227448103685,2025-04-01
2024,2024-01-01,1,3948.0,12,5.663228341432032,2025-01-01
2024,2024-01-01,1,3948.0,9,4.453401606695501,2024-10-01
2024,2024-01-01,1,3948.0,6,3.9939655312307725,2024-07-01
2024,2024-01-01,1,3948.0,3,2.7710774075003166,2024-04-01
2024,2024-01-01,1,3948.0,0,1.761698117096515,2024-01-01
2024,2024-01-01,1,9151.0,18,11.276478461254934,2025-07-01
2024,2024-01-01,1,9151.0,15,11.693453817103267,2025-04-01
2024,2024-01-01,1,9151.0,12,12.124618672676327,2025-01-01
2024,2024-01-01,1,9151.0,9,11.28361957918519,2024-10-01
2024,2024-01-01,1,9151.0,6,8.9173955341928,2024-07-01
2024,2024-01-01,1,9151.0,3,6.86481096468346,2024-04-01
2024,2024-01-01,1,9151.0,0,3.6662510064024376,2024-01-01
2024,2024-01-01,2,9151.0,18,9.716670684256615,2025-07-01
2024,2024-01-01,2,9151.0,15,8.785943796512722,2025-04-01
2024,2024-01-01,2,9151.0,12,7.7167622554369535,2025-01-01
2024,2024-01-01,2,9151.0,9,6.642943345424644,2024-10-01
2024,2024-01-01,2,9151.0,6,5.557869500511931,2024-07-01
2024,2024-01-01,2,9151.0,3,4.0294595429799545,2024-04-01
2024,2024-01-01,2,9151.0,0,1.903163132552628,2024-01-01
2024,2024-01-01,1,1598.0,18,5.517946562191382,2025-07-01
2024,2024-01-01,1,1598.0,15,5.59785585255673,2025-04-01
2024,2024-01-01,1,1598.0,12,4.6460224513057184,2025-01-01
2024,2024-01-01,1,1598.0,9,4.698251198357885,2024-10-01
2024,2024-01-01,1,1598.0,6,3.9795507270304618,2024-07-01
2024,2024-01-01,1,1598.0,3,2.331302858811285,2024-04-01
2024,2024-01-01,1,1598.0,0,1.0009042951157505,2024-01-01
2024,2024-01-01,1,4719.0,18,4.786943327790524,2025-07-01
2024,2024-01-01,1,4719.0,15,4.453715183438375,2025-04-01
2024,2024-01-01,1,4719.0,12,4.66026616807523,2025-01-01
2024,2024-01-01,1,4719.0,9,4.501439611960492,2024-10-01
2024,2024-01-01,1,4719.0,6,3.5167851710189653,2024-07-01
2024,2024-01-01,1,4719.0,3,2.3654245779962304,2024-04-01
2024,2024-01-01,1,4719.0,0,1.153088809399982,2024-01-01
2025,2025-01-10,1,3265.0,18,4.566052908208801,2026-07-10
2025,2025-01-10,1,3265.0,15,4.639158151228639,2026-04-10
2025,2025-01-10,1,3265.0,12,4.108608537101013,2026-01-10
2025,2025-01-10,1,3265.0,9,3.244215353445207,2025-10-10
2025,2025-01-10,1,3265.0,6,3.1510626356084908,2025-07-10
2025,2025-01-10,1,3265.0,3,1.976026169186695,2025-04-10
2025,2025-01-10,1,3265.0,0,0.8919403295805547,2025-01-10
2024,2024-01-01,1,6934.0,18,7.724841825498067,2025-07-01
2024,2024-01-01,1,6934.0,15,6.270116570017354,2025-04-01
2024,2024-01-01,1,6934.0,12,6.70841249018658,2025-01-01
2024,2024-01-01,1,6934.0,9,6.71783662138973,2024-10-01
2024,2024-01-01,1,6934.0,6,5.6489154178723995,2024-07-01
2024,2024-01-01,1,6934.0,3,3.259921705283653,2024-04-01
2024,2024-01-01,1,6934.0,0,1.8379660178378678,2024-01-01
2024,2024-01-01,1,9996.0,18,5.071182065954064,2025-07-01
2024,2024-01-01,1,9996.0,15,5.781180215405812,2025-04-01
2024,2024-01-01,1,9996.0,12,5.330580754474282,2025-01-01
2024,2024-01-01,1,9996.0,9,4.4522889355010165,2024-10-01
2024,2024-01-01,1,9996.0,6,3.885158466459988,2024-07-01
2024,2024-01-01,1,9996.0,3,2.9677040976723856,2024-04-01
2024,2024-01-01,1,9996.0,0,1.414847034390883,2024-01-01
2024,2024-01-01,1,1088.0,18,5.88719465919399,2025-07-01
2024,2024-01-01,1,1088.0,15,5.941972787233466,2025-04-01
2024,2024-01-01,1,1088.0,12,5.031721417897012,2025-01-01
2024,2024-01-01,1,1088.0,9,5.173106575911544,2024-10-01
2024,2024-01-01,1,1088.0,6,4.31430368019755,2024-07-01
2024,2024-01-01,1,1088.0,3,2.543178591719338,2024-04-01
2024,2024-01-01,1,1088.0,0,1.283088418457922,2024-01-01
2024,2024-01-01,1,979.0,18,14.846322356127661,2025-07-01
2024,2024-01-01,1,979.0,15,13.215563379392082,2025-04-01
2024,2024-01-01,1,979.0,12,11.279291874648015,2025-01-01
2024,2024-01-01,1,979.0,9,9.746074185517434,2024-10-01
2024,2024-01-01,1,979.0,6,6.572579783212427,2024-07-01
2024,2024-01-01,1,979.0,3,3.9781004248051435,2024-04-01
2024,2024-01-01,1,979.0,0,1.8310760541755355,2024-01-01
2024,2024-01-01,2,979.0,18,11.110730561185461,2025-07-01
2024,2024-01-01,2,979.0,15,10.696030365581759,2025-04-01
2024,2024-01-01,2,979.0,12,10.018591175689089,2025-01-01
